numSens,cbow+negsam+noupdated+best+t2+w2,cbow+negsam+updated+best+t2+w2,cw+noupdated+best+t2+w2,cw+updated+best+t2+w2,glove+noupdated+best+t2+w2,glove+updated+best+t2+w2,skip+gram+negsam+noupdated+best+t2+w2,skip+gram+negsam+updated+best+t2+w2
15,0.1131,0.1903,0.1823,0.0983,0.2798,0.4354,0.4486,0.4517
44,0.3212,0.2311,0.1737,0.2085,0.4348,0.3295,0.5897,0.4500
103,0.4181,0.3322,0.3101,0.1925,0.4112,0.3947,0.5833,0.4100
220,0.5574,0.3629,0.4580,0.3234,0.5618,0.4753,0.6072,0.4771
455,0.6622,0.5098,0.5439,0.2957,0.6122,0.5550,0.6675,0.5434
923,0.6814,0.5870,0.5771,0.3640,0.6527,0.5773,0.7049,0.5883
1861,0.6701,0.6149,0.6160,0.4257,0.6757,0.6898,0.7166,0.6074
3736,0.7249,0.6467,0.6719,0.4924,0.7224,0.6658,0.7506,0.6409
7487,0.7321,0.6649,0.6990,0.5096,0.7426,0.6727,0.7435,0.6654
14987,0.7728,0.6591,0.7119,0.5334,0.7603,0.6908,0.7832,0.6427
