numSens,cbow+negsam+noupdated+best+t2+w2,cbow+negsam+incretuneparam+t2+w2,cw+noupdated+best+t2+w2,cw+incretuneparam+t2+w2,glove+noupdated+best+t2+w2,glove+incretuneparam+t2+w2,skip+gram+negsam+noupdated+best+t2+w2,skip+gram+negsam+incretuneparam+t2+w2
38,0.5844,0.5731,0.6455,0.6302,0.5840,0.5644,0.6665,0.6135
113,0.6633,0.6607,0.6865,0.6662,0.6687,0.6236,0.7327,0.6767
262,0.7160,0.7000,0.7218,0.7076,0.7196,0.6825,0.7713,0.7280
561,0.7524,0.7422,0.7447,0.7215,0.7451,0.7189,0.7931,0.7545
1159,0.7749,0.7393,0.7418,0.7276,0.7767,0.7247,0.8135,0.7695
2354,0.7829,0.7455,0.7549,0.7411,0.7902,0.7444,0.8244,0.7778
4745,0.8011,0.7629,0.7575,0.7502,0.7985,0.7564,0.8415,0.8007
9527,0.8116,0.7829,0.7516,0.7560,0.8051,0.7691,0.8407,0.8004
19091,0.8131,0.7720,0.7505,0.7764,0.8095,0.7858,0.8542,0.8167
38219,0.8185,0.7844,0.7542,0.7771,0.8135,0.8015,0.8549,0.8309
