numSens,cbow+negsam+noupdated+best+t2+w2,cbow+negsam+updated+incretuneparam+t2+w2,cw+updated+incretuneparam+t2+w4,glove+noupdated+best+t2+w2,glove+updated+incretuneparam+t2+w2,skip+gram+negsam+noupdated+best+t2+w2,skip+gram+negsam+updated+incretuneparam+t2+w2
10,0.5433,0.5131,0.5473,0.5840,0.5564,0.5773,0.5651
29,0.6984,0.6603,0.7125,0.7285,0.6960,0.7245,0.7089
68,0.7797,0.7512,0.7845,0.7928,0.7674,0.7909,0.7776
145,0.8276,0.8109,0.8309,0.8353,0.8198,0.8363,0.8255
298,0.8632,0.8550,0.8646,0.8660,0.8583,0.8664,0.8601
606,0.8827,0.8808,0.8850,0.8864,0.8800,0.8860,0.8819
1221,0.8979,0.8958,0.8996,0.8997,0.8954,0.9002,0.8982
2451,0.9090,0.9076,0.9090,0.9109,0.9090,0.9112,0.9124
4910,0.9167,0.9179,0.9169,0.9187,0.9216,0.9201,0.9248
9829,0.9266,0.9261,0.9264,0.9285,0.9279,0.9291,0.9319
