word	distance
incoming	0.456662476054
outparcels	0.0
reallocations	0.0
heavily-fortified	0.0
best-organised	0.0
deferment	0.0
land-for-peace	0.0
waste-disposal	0.0
gag	0.0
woods	0.422589941528
exorcists	0.0
still-formidable	0.0
hanging	0.540066214442
ultimatley	0.0
woody	0.255724509161
trawling	0.0
five-nation	0.526501546291
comically	0.0
co-venture	0.204644197532
sevens	0.0
disobeying	0.0
waste-management	0.0
mutinied	0.0
spot-kicks	0.0
blast-off	0.0
susbsidies	0.0
theoreticals	0.0
originality	0.0
wrong-footed	0.0
mutinies	0.34361267554
unnecessarily	0.460549968439
storiesin	0.0
inflation-free	0.0
patriarchy	0.375072858696
rumbustious	0.0
second-oldest	0.0
passsengers	0.0
well-conducted	0.0
wet-gas	0.0
slothful	0.0
co-operation	0.0
acoustic	0.0
discribed	0.0
stipulate	0.179498416137
pigment	0.359711534121
trimester	0.310173246965
weather-driven	0.0
appropriation	0.580046775089
price-change	0.0
transvestism	0.0
strictest	0.0
non-proportional	0.0
uncoordinated	0.0
task-specific	0.0
acclerating	0.0
elevates	0.256571162805
wooded	0.0
liaisons	0.25608207806
politicial	0.0
broiler	0.270495033879
fous	0.0
wooden	0.508006316203
personal-finance	0.0
wednesday	0.975117980253
sabotaged	0.0
co-leadership	0.0
broiled	0.0
abatements	0.0
delaration	0.0
crotch	0.0
end-of-the-week	0.0
re-locating	0.0
stereotypical	0.172856557455
ultra-violet	0.0
south-west	0.0
festered	0.0
non-compete	0.0
guardsmen	0.0
non-violent	0.633453809467
recourse	0.301353912143
patinets	0.0
gaskets	0.0
lossmaking	0.0
grainy	0.0
adversely	0.498317104676
rgime	0.0
complainers	0.0
shorthaul	0.0
force-fed	0.0
signifiantly	0.0
feasibility	0.457979444474
miniatures	0.0
sooth	0.0
mixed-religion	0.0
seventh-day	0.0
sustaining	0.586787127406
consenting	0.274429881346
reengineering	0.0
periodontitis	0.0
scraped	0.0
consumer-owned	0.0
re-notify	0.0
ffob	0.0
outturns	0.0
dormancy	0.0
errors	1.01143232286
syphon	0.0
tiered	0.0
self-reliant	0.0
nature.	0.0
cooking	0.179183997372
air-to-sea	0.0
melanin	0.39267472938
opportunists	0.476707749259
local-option	0.0
warmongering	0.0
toolmaking	0.0
dicovered	0.0
aggression	0.0
outfielders	0.55570810259
store-brand	0.0
numeral	0.427262914418
pawed	0.0
hallucinating	0.0
succumb	0.0
shocks	0.460521124582
sation	0.0
epidemiology	0.0
crouch	0.527911629544
market-opening	0.285137164516
boil-water	0.0
jubilantly	0.0
zlotys	0.309046357453
mailings	0.347834696609
counter-culture	0.0
brainwashed	0.0
affiliates	0.722497276462
coal-driven	0.0
perfunctorily	0.0
china	0.795907180191
titles.	0.0
accredit	0.0
affiliated	0.725611214913
inverview	0.0
virtuoso	0.279553303635
confronts	0.22067517446
red-tape	0.0
chink	0.0
doldrums	0.587264569014
existentialist	0.480421218212
kids	0.711277518589
uplifting	0.0
non-transit	0.0
blowpipes	0.0
deferring	0.652453611963
grimacing	0.0
period-by-period	0.0
lagest	0.0
adulterous	0.0
lingo	0.0
six-hit	0.0
neurologist	0.37358667182
talbe	0.0
spotty	0.527029016641
climber	0.0
sharemarket	0.0
coalesces	0.0
millimetres	0.0
ganging	0.0
cobblers	0.0
topography	0.0
sub-tribe	0.0
projection	0.384957235704
lengthed	0.0
outraging	0.0
lengthen	0.569005419692
intent	0.780197489361
government-designated	0.0
invesment	0.0
provincial-level	0.0
spacewalks	0.0
stern	0.565620666504
high-wage	0.0
end-of-sittings	0.0
sensibilisation	0.0
disproportionately	0.29426568097
sternest	0.0
silverscreen	0.0
frosty	0.250571634992
sterness	0.0
encoutered	0.0
catchy	0.0
insecurity	0.0
outwit	0.0
cannibal	0.0
prospector	0.0
aerodynamicist	0.0
below-standard	0.0
refunding	0.566375674857
music	0.713036521142
therefore	0.78445349757
distortions	0.203964296988
reasserting	0.560987133379
caned	0.0
sermons	0.0
pinpoints	0.0
ex-rugby	0.0
rpondre	0.0
expecting	0.908805850121
populations	0.329555158959
two-all	0.0
anti-gun	0.0
crossbar	0.0
multi-channel	0.0
rearrangements	0.0
asset-type	0.0
meteorologist	0.0
milestones	0.898373396768
explusions	0.0
lead-based	0.0
categoric	0.0
exco	0.0
excl	0.0
schoolboys	0.389855607396
exhorbitant	0.0
exch	0.0
circumstances	0.782732264945
resently	0.0
co-marketing	0.0
enflamed	0.0
morally	0.415884392945
locked	0.796050904739
toxins	0.0
non-alignment	0.0
commentaire	0.0
well-supplied	0.0
edication	0.0
keloids	0.0
innoculate	0.0
repaid	0.711653853844
manuverability	0.0
locker	0.326056634815
intensifed	0.0
old-guard	0.0
under-financing	0.0
confining	0.0
radicalisation	0.0
bankiers	0.0
avaient	0.0
six-mile	0.292791178517
sectarianism	0.0
unreconstructed	0.0
pollutors	0.0
capsaicin	0.0
wand	0.0
pints	0.204491785117
unjust	0.390917371112
envirnomental	0.0
fluorite	0.0
optician	0.0
pooper	0.0
buy-now-pay-later	0.0
want	1.03419990808
cookers	0.0
rayon	0.17700779761
pinto	0.0
cross-sales	0.0
cookery	0.0
groggily	0.0
sub-indices	0.0
well-armed	0.0
wracked	0.143479079741
repricing	0.0
travel	0.798376841884
shirked	0.0
recently-departed	0.0
cutback	0.483933786567
sanatoriums	0.0
playback	0.565172382118
good-value	0.0
profiteered	0.0
nearly-completed	0.0
divergance	0.0
industrialised	0.0
prostitues	0.0
amricaine	0.0
non-reserved	0.0
twines	0.0
cyclone-devastated	0.0
names.	0.0
wheatear	0.0
uselessness	0.0
barbarians	0.0
assimilated	0.0
sugar-based	0.0
money-launderers	0.0
registries	0.0
dinosaurs	0.769100903005
modest	0.796098920575
lattice-work	0.0
millages	0.0
twined	0.0
sentencing	0.463318336758
off-label	0.0
ex-justice	0.0
military-based	0.0
assimilates	0.0
steadfast	0.147515722185
matter-of-fact	0.0
poiints	0.0
well-reasoned	0.0
occasions	0.341846684471
deficit-fighting	0.0
romped	0.0
long_term	0.0
sickening	0.0
tulip	0.255980823203
perpetrator	0.0
quiting	0.0
farmlands	0.0
nonsensical	0.0
point-of-sale	0.217108472561
lace-up	0.0
leisurely	0.649526145284
smashers	0.0
macroeconometric	0.0
snugly	0.0
once-a-week	0.0
medium-distance	0.0
effect.	0.0
roll-over	0.0
concurrence	0.327015344775
cerrado	0.0
whizzing	0.0
three-strain	0.0
partnered	0.0
bromantan	0.0
butcher	0.580528680039
beerhall	0.0
kneejerk	0.0
rewarded	0.148473326126
wherein	0.0
activating	0.0
abysses	0.0
genetically-engineered	0.0
welcomes	0.237664065136
fir	0.0
ex-dividend	0.437679469299
ready-to-use	0.0
wickedly	0.240525725112
up-trend	0.0
fit	0.672876171117
insureds	0.0
lifeline	0.0
screaming	0.440251860432
fix	0.441795338189
occupations	0.298705792515
pre-baking	0.0
discourse	0.227832465464
seamier	0.389534835031
fib	0.0
first-test	0.0
bulding	0.0
rehoused	0.0
fig	0.181967598883
bankrupty	0.0
tee-off	0.0
non-resort	0.0
fin	0.0
passageways	0.0
fim	0.0
canstock	0.0
lingustic	0.0
unpeg	0.0
perching	0.0
songwriter	0.0
municipality	0.270991711768
enamelled	0.0
short-listed	0.0
vouchers	0.319683331104
top-quality	0.469651926484
hypoxic	0.0
effectu	0.0
sodium	0.33278563734
effects	0.679479831124
counter-terrorists	0.0
fast-attack	0.0
multidimensional	0.0
sixteen	0.0
undeveloped	0.697809441492
dead-end	0.0
saddened	0.0
grueling	0.371600264795
customer-oriented	0.0
kleptocracy	0.0
partisan	0.76591941157
dungeon-like	0.0
miltary	0.0
whacking	0.0
castigating	0.429663623517
foregin	0.0
telekom	0.0
disconnection	0.0
blood-plasma	0.0
self-titled	0.0
hair-growth	0.0
second-rank	0.0
mother-of-three	0.0
trippled	0.0
riddling	0.0
prevous	0.0
burial	0.39818582689
diatoms	0.0
telescope	0.452270699128
conductress	0.0
wastefully	0.0
tantalisingly	0.0
stabilises	0.0
drug-resistant	0.0
platelets	0.0
advocate-general	0.0
general-manager	0.0
parasites	0.24317314324
childen	0.0
strips	0.6760699695
annonced	0.0
employee-owned	0.209916397671
worn-out	0.0
allay	0.323399573311
hijacked	0.0
ex-treasury	0.0
stabilised	0.0
vinho	0.0
forwarding	0.492154631958
short-sea	0.0
touts	0.761395678715
re-regulate	0.0
protray	0.0
indiscretion	0.0
freeze	0.71124960217
enviroment	0.0
mason	0.537113799416
toute	0.0
varified	0.0
broad-minded	0.0
implore	0.0
adapt	0.494523908842
mazut	0.0
south-eastern	0.0
volutions	0.0
lower-than	0.0
re-iterated	0.0
outburst	0.0
misrepresentations	0.619247484707
historically-low	0.0
abbott	0.73284479808
stamping	0.462348924606
intercommunal	0.0
diminshed	0.0
underfoot	0.0
strata	0.0
cover-names	0.0
pumpkins	0.0
corrects	0.23890145631
elsewhere	0.697035579608
deferments	0.0
air-conditioners	0.0
sheet	0.632410453646
omited	0.0
loosies	0.0
chlorine	0.375003772313
single-day	0.0
competes	0.540509329587
steadfastness	0.0
allergies	0.346426607455
commissaries	0.0
semi-trailer	0.0
immunities	0.55365046012
connive	0.0
cockpit-style	0.0
developmental-stage	0.0
diamond-rich	0.0
ministries	0.579279134887
pro-employment	0.0
disturbed	0.265156444483
competed	0.195227258578
dentures	0.0
shrugged-off	0.0
ineffectively	0.0
loudness	0.0
all-news	0.0
ominious	0.0
stripe	0.0
size	0.787364325446
no-contests	0.0
lightened	0.310476028162
gangly	0.0
behaviourist	0.0
dawns	0.456340643986
disfigured	0.0
humanitarians	0.0
mail-fraud	0.0
maladies	0.0
single-wide	0.0
chevron	0.749306955699
multi-city	0.0
pronghorn	0.0
tusks	0.0
cordoned-off	0.0
reintroduces	0.0
highly-motivated	0.0
seizures	0.353708645406
seven-time	0.0
olds	0.507109332243
problem-solvers	0.0
service	0.789019617359
thenight	0.0
dissuasion	0.0
pre-planting	0.0
payless	0.0
short-circuit	0.0
zinfandel	0.0
drillsites	0.0
near-absolute	0.0
mind-boggling	0.235346515093
master	0.678670847372
predecessors	0.201718310033
mosaiced	0.0
fuzziness	0.0
genesis	0.350399806297
substaintial	0.0
chocolate-coloured	0.0
newly-fallen	0.0
briquetted	0.0
fuero	0.0
reclassifying	0.0
meltdowns	0.0
governmeent	0.0
crate	0.0
concessionaries	0.0
factory-built	0.0
three-bay	0.0
integrally	0.0
mutilated	0.324151488862
transtion	0.0
large-size	0.321534172024
non-interstate	0.174179632918
perimetre	0.0
heftiest	0.0
horrible	0.498661800131
stop-go	0.0
derisorily	0.0
maglev	0.0
one-storey	0.0
double-standard	0.0
heat-related	0.0
handcuffs	0.442569191956
non-beer	0.0
saeen	0.0
elying	0.0
regulator	0.548799091974
idle	0.637487326529
exclaimed	0.0
cannibalize	0.0
three-wicket	0.0
silky	0.173865256523
shampoos	0.0
