word	similarity
incoming	0.924311693969
outparcels	1.0
reallocations	1.0
heavily-fortified	1.0
best-organised	1.0
deferment	1.0
land-for-peace	1.0
waste-disposal	1.0
gag	1.0
woods	0.912750897492
exorcists	1.0
still-formidable	1.0
hanging	0.876250331457
ultimatley	1.0
woody	0.976720339096
trawling	1.0
five-nation	0.923906346063
comically	1.0
co-venture	0.973876947196
sevens	1.0
disobeying	1.0
waste-management	1.0
mutinied	1.0
spot-kicks	1.0
blast-off	1.0
susbsidies	1.0
theoreticals	1.0
originality	1.0
wrong-footed	1.0
mutinies	0.968422359551
unnecessarily	0.888861234684
storiesin	1.0
inflation-free	1.0
patriarchy	0.970309807707
rumbustious	1.0
second-oldest	1.0
passsengers	1.0
well-conducted	1.0
wet-gas	1.0
slothful	1.0
co-operation	1.0
acoustic	1.0
discribed	1.0
stipulate	0.965555377897
pigment	0.887776130181
trimester	0.957821874624
weather-driven	1.0
appropriation	0.86003908735
price-change	1.0
transvestism	1.0
strictest	1.0
non-proportional	1.0
uncoordinated	1.0
task-specific	1.0
acclerating	1.0
elevates	0.932756407613
wooded	1.0
liaisons	0.973381954917
politicial	1.0
broiler	0.973406083229
fous	1.0
wooden	0.88942800615
personal-finance	1.0
wednesday	0.516501551289
sabotaged	1.0
co-leadership	1.0
broiled	1.0
abatements	1.0
delaration	1.0
crotch	1.0
end-of-the-week	1.0
re-locating	1.0
stereotypical	0.95908428687
ultra-violet	1.0
south-west	1.0
festered	1.0
non-compete	1.0
guardsmen	1.0
non-violent	0.741804442036
recourse	0.888796453442
patinets	1.0
gaskets	1.0
lossmaking	1.0
grainy	1.0
adversely	0.933191579124
rgime	1.0
complainers	1.0
shorthaul	1.0
force-fed	1.0
signifiantly	1.0
feasibility	0.936343476555
miniatures	1.0
sooth	1.0
mixed-religion	1.0
seventh-day	1.0
sustaining	0.907366579704
consenting	0.967727196694
reengineering	1.0
periodontitis	1.0
scraped	1.0
consumer-owned	1.0
re-notify	1.0
ffob	1.0
outturns	1.0
dormancy	1.0
errors	0.791625981616
syphon	1.0
tiered	1.0
self-reliant	1.0
nature.	1.0
cooking	0.976869571129
air-to-sea	1.0
melanin	0.938619007523
opportunists	0.931919069829
local-option	1.0
warmongering	1.0
toolmaking	1.0
dicovered	1.0
aggression	1.0
outfielders	0.939039013228
store-brand	1.0
numeral	0.955092259499
pawed	1.0
hallucinating	1.0
succumb	1.0
shocks	0.900304772181
sation	1.0
epidemiology	1.0
crouch	0.938119438611
market-opening	0.960906168362
boil-water	1.0
jubilantly	1.0
zlotys	0.966881908562
mailings	0.895739454243
counter-culture	1.0
brainwashed	1.0
affiliates	0.680308531611
coal-driven	1.0
perfunctorily	1.0
china	0.587274139496
titles.	1.0
accredit	1.0
affiliated	0.943283749708
inverview	1.0
virtuoso	0.976195406692
confronts	0.968354232409
red-tape	1.0
chink	1.0
doldrums	0.885044199485
existentialist	0.942195898892
kids	0.848167289625
uplifting	1.0
non-transit	1.0
blowpipes	1.0
deferring	0.823048214588
grimacing	1.0
period-by-period	1.0
lagest	1.0
adulterous	1.0
lingo	1.0
six-hit	1.0
neurologist	0.934414967797
talbe	1.0
spotty	0.89373691254
climber	1.0
sharemarket	1.0
coalesces	1.0
millimetres	1.0
ganging	1.0
cobblers	1.0
topography	1.0
sub-tribe	1.0
projection	0.823953419292
lengthed	1.0
outraging	1.0
lengthen	0.915565710358
intent	0.872599431221
government-designated	1.0
invesment	1.0
provincial-level	1.0
spacewalks	1.0
stern	0.859852991538
high-wage	1.0
end-of-sittings	1.0
sensibilisation	1.0
disproportionately	0.948537569515
sternest	1.0
silverscreen	1.0
frosty	0.965641076604
sterness	1.0
encoutered	1.0
catchy	1.0
insecurity	1.0
outwit	1.0
cannibal	1.0
prospector	1.0
aerodynamicist	1.0
below-standard	1.0
refunding	0.923996423962
music	0.768187738515
therefore	0.687254729915
distortions	0.921550049115
reasserting	0.905588056062
caned	1.0
sermons	1.0
pinpoints	1.0
ex-rugby	1.0
rpondre	1.0
expecting	0.664565870935
populations	0.946520955838
two-all	1.0
anti-gun	1.0
crossbar	1.0
multi-channel	1.0
rearrangements	1.0
asset-type	1.0
meteorologist	1.0
milestones	0.832691207867
explusions	1.0
lead-based	1.0
categoric	1.0
exco	1.0
excl	1.0
schoolboys	0.960495345085
exhorbitant	1.0
exch	1.0
circumstances	0.531987104616
resently	1.0
co-marketing	1.0
enflamed	1.0
morally	0.917052381872
locked	0.715964192133
toxins	1.0
non-alignment	1.0
commentaire	1.0
well-supplied	1.0
edication	1.0
keloids	1.0
innoculate	1.0
repaid	0.777288858198
manuverability	1.0
locker	0.979363647839
intensifed	1.0
old-guard	1.0
under-financing	1.0
confining	1.0
radicalisation	1.0
bankiers	1.0
avaient	1.0
six-mile	0.965910194278
sectarianism	1.0
unreconstructed	1.0
pollutors	1.0
capsaicin	1.0
wand	1.0
pints	0.961203276644
unjust	0.876818084371
envirnomental	1.0
fluorite	1.0
optician	1.0
pooper	1.0
buy-now-pay-later	1.0
want	0.535915858495
cookers	1.0
rayon	0.940064372185
pinto	1.0
cross-sales	1.0
cookery	1.0
groggily	1.0
sub-indices	1.0
well-armed	1.0
wracked	0.971519766257
repricing	1.0
travel	0.731694644555
shirked	1.0
recently-departed	1.0
cutback	0.943139811406
sanatoriums	1.0
playback	0.92683755499
good-value	1.0
profiteered	1.0
nearly-completed	1.0
divergance	1.0
industrialised	1.0
prostitues	1.0
amricaine	1.0
non-reserved	1.0
twines	1.0
cyclone-devastated	1.0
names.	1.0
wheatear	1.0
uselessness	1.0
barbarians	1.0
assimilated	1.0
sugar-based	1.0
money-launderers	1.0
registries	1.0
dinosaurs	0.827310660152
modest	0.609886989382
lattice-work	1.0
millages	1.0
twined	1.0
sentencing	0.950693433736
off-label	1.0
ex-justice	1.0
military-based	1.0
assimilates	1.0
steadfast	0.96974602342
matter-of-fact	1.0
poiints	1.0
well-reasoned	1.0
occasions	0.59836037119
deficit-fighting	1.0
romped	1.0
long_term	1.0
sickening	1.0
tulip	0.973835322237
perpetrator	1.0
quiting	1.0
farmlands	1.0
nonsensical	1.0
point-of-sale	0.980153553795
lace-up	1.0
leisurely	0.898377119332
smashers	1.0
macroeconometric	1.0
snugly	1.0
once-a-week	1.0
medium-distance	1.0
effect.	1.0
roll-over	1.0
concurrence	0.79557961939
cerrado	1.0
whizzing	1.0
three-strain	1.0
partnered	1.0
bromantan	1.0
butcher	0.892420182349
beerhall	1.0
kneejerk	1.0
rewarded	0.966506392885
wherein	1.0
activating	1.0
abysses	1.0
genetically-engineered	1.0
welcomes	0.876104832192
fir	1.0
ex-dividend	0.951103062245
ready-to-use	1.0
wickedly	0.976121584336
up-trend	1.0
fit	0.851490188127
insureds	1.0
lifeline	1.0
screaming	0.931227393525
fix	0.886256591769
occupations	0.958630700077
pre-baking	1.0
discourse	0.972223403737
seamier	0.958300508821
fib	1.0
first-test	1.0
bulding	1.0
rehoused	1.0
fig	0.978738646395
bankrupty	1.0
tee-off	1.0
non-resort	1.0
fin	1.0
passageways	1.0
fim	1.0
canstock	1.0
lingustic	1.0
unpeg	1.0
perching	1.0
songwriter	1.0
municipality	0.819513713258
enamelled	1.0
short-listed	1.0
vouchers	0.964586631669
top-quality	0.962329864408
hypoxic	1.0
effectu	1.0
sodium	0.96109972188
effects	0.631219065014
counter-terrorists	1.0
fast-attack	1.0
multidimensional	1.0
sixteen	1.0
undeveloped	0.771977492007
dead-end	1.0
saddened	1.0
grueling	0.944809512147
customer-oriented	1.0
kleptocracy	1.0
partisan	0.874705956725
dungeon-like	1.0
miltary	1.0
whacking	1.0
castigating	0.925181549886
foregin	1.0
telekom	1.0
disconnection	1.0
blood-plasma	1.0
self-titled	1.0
hair-growth	1.0
second-rank	1.0
mother-of-three	1.0
trippled	1.0
riddling	1.0
prevous	1.0
burial	0.940420401333
diatoms	1.0
telescope	0.962370182391
conductress	1.0
wastefully	1.0
tantalisingly	1.0
stabilises	1.0
drug-resistant	1.0
platelets	1.0
advocate-general	1.0
general-manager	1.0
parasites	0.969690944374
childen	1.0
strips	0.860355329284
annonced	1.0
employee-owned	0.965937948193
worn-out	1.0
allay	0.636904336936
hijacked	1.0
ex-treasury	1.0
stabilised	1.0
vinho	1.0
forwarding	0.96171630451
short-sea	1.0
touts	0.856575221796
re-regulate	1.0
protray	1.0
indiscretion	1.0
freeze	0.78655749977
enviroment	1.0
mason	0.657728942633
toute	1.0
varified	1.0
broad-minded	1.0
implore	1.0
adapt	0.883548613564
mazut	1.0
south-eastern	1.0
volutions	1.0
lower-than	1.0
re-iterated	1.0
outburst	1.0
misrepresentations	0.849544106507
historically-low	1.0
abbott	0.850428354983
stamping	0.84562566628
intercommunal	1.0
diminshed	1.0
underfoot	1.0
strata	1.0
cover-names	1.0
pumpkins	1.0
corrects	0.963626753875
elsewhere	0.713463754526
deferments	1.0
air-conditioners	1.0
sheet	0.761682766345
omited	1.0
loosies	1.0
chlorine	0.897171329402
single-day	1.0
competes	0.867914731439
steadfastness	1.0
allergies	0.898996336378
commissaries	1.0
