numSens,cbow+negsam+noupdated+best+t2+w2,cbow+negsam+updated+best+t2+w2,cw+noupdated+best+t2+w2,cw+updated+best+t2+w2,glove+noupdated+best+t2+w2,glove+updated+best+t2+w2,skip+gram+negsam+noupdated+best+t2+w2,skip+gram+negsam+updated+best+t2+w2
15,0.0541,0.1461,0.1261,0.2060,0.0289,0.1313,0.0175,0.0477
44,0.0790,0.0834,0.1056,0.1263,0.0375,0.0809,0.0527,0.0236
103,0.1851,0.2553,0.1451,0.2567,0.0874,0.1970,0.1367,0.0940
220,0.3566,0.3828,0.3251,0.4539,0.2733,0.3728,0.3716,0.2510
455,0.5164,0.5170,0.5007,0.5593,0.4561,0.4887,0.5500,0.3410
923,0.6284,0.5713,0.6224,0.6177,0.5999,0.5818,0.6665,0.4516
1861,0.7136,0.6506,0.7174,0.6743,0.7056,0.6586,0.7497,0.5725
3736,0.7760,0.7072,0.7749,0.7151,0.7640,0.6985,0.7992,0.6511
7487,0.8001,0.7306,0.7969,0.7440,0.8049,0.7178,0.8199,0.6933
14987,0.8246,0.7324,0.8071,0.7660,0.8353,0.7283,0.8469,0.7383
