numSens,cbow+negsam+noupdated+best+t2+w2,cbow+negsam+updated+best+t2+w2,cw+noupdated+best+t2+w2,cw+updated+best+t2+w2,glove+noupdated+best+t2+w2,glove+updated+best+t2+w2,skip+gram+negsam+noupdated+best+t2+w2,skip+gram+negsam+updated+best+t2+w2
15,0.4349,0.5092,0.4728,0.5376,0.4102,0.5337,0.4091,0.4284
44,0.4351,0.4567,0.4406,0.5178,0.4099,0.4929,0.4263,0.4042
103,0.4786,0.5425,0.4624,0.5097,0.4273,0.5563,0.4736,0.4260
220,0.5698,0.5667,0.5368,0.6600,0.5295,0.6293,0.5966,0.5058
455,0.6285,0.6475,0.6460,0.7099,0.6067,0.6475,0.6753,0.5360
923,0.6982,0.6660,0.7198,0.7364,0.6951,0.6961,0.7544,0.5649
1861,0.7489,0.6847,0.7697,0.7525,0.7544,0.7193,0.7985,0.6163
3736,0.7991,0.7252,0.8066,0.7819,0.7889,0.7333,0.8316,0.6779
7487,0.8149,0.7247,0.8175,0.7902,0.8227,0.7174,0.8469,0.6811
14987,0.8357,0.7096,0.8217,0.8056,0.8505,0.7081,0.8656,0.7120
