numSens,cbow+negsam+noupdated+best+t2+w2,cbow+negsam+incretuneparam+t2+w2,cw+noupdated+best+t2+w2,cw+incretuneparam+t2+w2,glove+noupdated+best+t2+w2,glove+incretuneparam+t2+w2,skip+gram+negsam+noupdated+best+t2+w2,skip+gram+negsam+incretuneparam+t2+w2
38,0.7543,0.7457,0.7267,0.7420,0.6861,0.7172,0.7547,0.7486
113,0.8446,0.8384,0.8019,0.8277,0.7926,0.8192,0.8494,0.8480
262,0.8896,0.8867,0.8467,0.8822,0.8506,0.8750,0.8915,0.8952
561,0.9170,0.9152,0.8752,0.9080,0.8868,0.9078,0.9182,0.9202
1159,0.9294,0.9301,0.8934,0.9241,0.9057,0.9253,0.9322,0.9347
2354,0.9378,0.9393,0.9053,0.9339,0.9178,0.9366,0.9399,0.9437
4745,0.9442,0.9450,0.9128,0.9402,0.9267,0.9434,0.9464,0.9488
9527,0.9467,0.9502,0.9171,0.9457,0.9320,0.9473,0.9488,0.9521
19091,0.9494,0.9545,0.9206,0.9506,0.9359,0.9528,0.9522,0.9563
38219,0.9515,0.9579,0.9235,0.9539,0.9379,0.9567,0.9544,0.9592
