numSens,cbow+negsam+noupdated+best+t2+w2,cbow+negsam+incretuneparam+t2+w2,cw+noupdated+best+t2+w2,cw+incretuneparam+t2+w2,glove+noupdated+best+t2+w2,glove+incretuneparam+t2+w2,skip+gram+negsam+noupdated+best+t2+w2,skip+gram+negsam+incretuneparam+t2+w2
38,0.6854,0.6681,0.6303,0.6360,0.5931,0.6249,0.6786,0.6631
113,0.7794,0.7644,0.7164,0.7467,0.7025,0.7408,0.7812,0.7765
262,0.8399,0.8331,0.7705,0.8249,0.7719,0.8163,0.8377,0.8438
561,0.8689,0.8618,0.8069,0.8481,0.8158,0.8470,0.8650,0.8679
1159,0.8820,0.8779,0.8302,0.8638,0.8428,0.8644,0.8847,0.8817
2354,0.8900,0.8851,0.8469,0.8730,0.8576,0.8761,0.8936,0.8893
4745,0.8964,0.8919,0.8563,0.8821,0.8700,0.8856,0.9010,0.8968
9527,0.8995,0.8961,0.8613,0.8879,0.8760,0.8917,0.9058,0.9010
19091,0.9030,0.8999,0.8658,0.8915,0.8804,0.8974,0.9084,0.9044
38219,0.9045,0.9030,0.8681,0.8957,0.8837,0.9014,0.9105,0.9066
