numSens,cbow+negsam+noupdated+best+t2+w2,cbow+negsam+updated+incretuneparam+t2+w2,cw+updated+incretuneparam+t2+w4,glove+noupdated+best+t2+w2,glove+updated+incretuneparam+t2+w2,skip+gram+negsam+noupdated+best+t2+w2,skip+gram+negsam+updated+incretuneparam+t2+w2
10,0.7635,0.7404,0.7679,0.7887,0.7720,0.7788,0.7734
29,0.8230,0.8077,0.8318,0.8406,0.8253,0.8372,0.8284
68,0.8644,0.8502,0.8620,0.8688,0.8614,0.8665,0.8583
145,0.8869,0.8780,0.8936,0.8933,0.8824,0.8919,0.8824
298,0.9069,0.8987,0.9059,0.9049,0.9035,0.9066,0.9028
606,0.9195,0.9188,0.9208,0.9178,0.9144,0.9218,0.9157
1221,0.9269,0.9300,0.9259,0.9235,0.9252,0.9290,0.9266
2451,0.9317,0.9337,0.9320,0.9341,0.9283,0.9331,0.9334
4910,0.9351,0.9365,0.9334,0.9371,0.9331,0.9368,0.9354
9829,0.9395,0.9382,0.9365,0.9399,0.9354,0.9405,0.9409
