word	distance
incoming	1.20269528848
outparcels	0.0
reallocations	0.0
heavily-fortified	0.0
best-organised	0.0
deferment	0.0
land-for-peace	0.0
waste-disposal	0.0
gag	0.0
woods	1.28660097212
exorcists	0.0
still-formidable	0.0
hanging	1.28568510695
ultimatley	0.0
woody	1.34480582004
trawling	0.0
five-nation	1.00819778255
comically	0.0
co-venture	1.26822864302
sevens	0.0
disobeying	0.0
waste-management	0.0
mutinied	0.0
spot-kicks	0.0
blast-off	0.0
susbsidies	0.0
theoreticals	0.0
originality	0.0
wrong-footed	0.0
mutinies	0.881006805823
unnecessarily	1.1591519521
storiesin	0.0
inflation-free	0.0
patriarchy	1.12290194266
rumbustious	0.0
second-oldest	0.0
passsengers	0.0
well-conducted	0.0
wet-gas	0.0
slothful	0.0
co-operation	0.0
acoustic	0.0
discribed	0.0
stipulate	1.31292784443
pigment	1.40147589853
trimester	1.25251868812
weather-driven	0.0
appropriation	1.34102256267
price-change	0.0
transvestism	0.0
strictest	0.0
non-proportional	0.0
uncoordinated	0.0
task-specific	0.0
acclerating	0.0
elevates	1.31067067257
wooded	0.0
liaisons	1.2090641253
politicial	0.0
broiler	1.27793678969
fous	0.0
wooden	1.30181295459
personal-finance	0.0
wednesday	1.41243452849
sabotaged	0.0
co-leadership	0.0
broiled	0.0
abatements	0.0
delaration	0.0
crotch	0.0
end-of-the-week	0.0
re-locating	0.0
stereotypical	1.29149881074
ultra-violet	0.0
south-west	0.0
festered	0.0
non-compete	0.0
guardsmen	0.0
non-violent	1.38147761024
recourse	1.40560570076
patinets	0.0
gaskets	0.0
lossmaking	0.0
grainy	0.0
adversely	1.19921568305
rgime	0.0
complainers	0.0
shorthaul	0.0
force-fed	0.0
signifiantly	0.0
feasibility	1.34983002503
miniatures	0.0
sooth	0.0
mixed-religion	0.0
seventh-day	0.0
sustaining	1.18771251636
consenting	1.35506069946
reengineering	0.0
periodontitis	0.0
scraped	0.0
consumer-owned	0.0
re-notify	0.0
ffob	0.0
outturns	0.0
dormancy	0.0
errors	1.29060116595
syphon	0.0
tiered	0.0
self-reliant	0.0
nature.	0.0
cooking	0.851585907269
air-to-sea	0.0
melanin	1.25740842881
opportunists	1.24607276385
local-option	0.0
warmongering	0.0
toolmaking	0.0
dicovered	0.0
aggression	0.0
outfielders	1.16534530928
store-brand	0.0
numeral	0.842997757399
pawed	0.0
hallucinating	0.0
succumb	0.0
shocks	1.31940982422
sation	0.0
epidemiology	0.0
crouch	1.08279513186
market-opening	1.02310624811
boil-water	0.0
jubilantly	0.0
zlotys	1.2126792728
mailings	1.36188666286
counter-culture	0.0
brainwashed	0.0
affiliates	1.3829951102
coal-driven	0.0
perfunctorily	0.0
china	1.39239210384
titles.	0.0
accredit	0.0
affiliated	1.01125399184
inverview	0.0
virtuoso	1.30354393515
confronts	1.31626276907
red-tape	0.0
chink	0.0
doldrums	0.880963021968
existentialist	1.16525557682
kids	1.29147942504
uplifting	0.0
non-transit	0.0
blowpipes	0.0
deferring	1.3007743082
grimacing	0.0
period-by-period	0.0
lagest	0.0
adulterous	0.0
