word	distance
incoming	0.0
outparcels	0.0
reallocations	0.0
heavily-fortified	0.0
best-organised	0.0
deferment	0.0
land-for-peace	0.0
waste-disposal	0.0
gag	0.284053135874
woods	0.0
exorcists	0.0
still-formidable	0.0
hanging	0.790849228286
ultimatley	0.0
woody	0.0
trawling	0.0
five-nation	0.409646540026
comically	0.0
co-venture	0.0
sevens	0.0
disobeying	0.0
waste-management	0.0
mutinied	0.0
spot-kicks	0.0
blast-off	0.0
susbsidies	0.0
theoreticals	0.0
originality	0.0
wrong-footed	0.0
mutinies	0.0
unnecessarily	0.0
storiesin	0.0
inflation-free	0.0
patriarchy	0.0
rumbustious	0.0
second-oldest	0.0
passsengers	0.0
well-conducted	0.0
wet-gas	0.0
slothful	0.0
co-operation	0.369101993828
acoustic	0.0
discribed	0.0
stipulate	0.0
pigment	0.0
trimester	0.0
weather-driven	0.0
appropriation	0.0
price-change	0.0
transvestism	0.0
strictest	0.0
non-proportional	0.0
uncoordinated	0.0
task-specific	0.0
acclerating	0.0
elevates	0.0
wooded	0.0
liaisons	0.0
politicial	0.0
broiler	0.0
fous	0.0
wooden	0.493617205271
personal-finance	0.0
wednesday	0.942521385309
sabotaged	0.0
co-leadership	0.0
broiled	0.0
abatements	0.0
delaration	0.0
crotch	0.0
end-of-the-week	0.0
re-locating	0.0
stereotypical	0.0
ultra-violet	0.0
south-west	0.330295959705
festered	0.0
non-compete	0.0
guardsmen	0.0
non-violent	0.0
recourse	0.0
patinets	0.0
gaskets	0.0
lossmaking	0.0
grainy	0.0
adversely	0.0
rgime	0.0
complainers	0.0
shorthaul	0.0
force-fed	0.0
signifiantly	0.0
feasibility	0.0
miniatures	0.0
sooth	0.0
mixed-religion	0.0
seventh-day	0.0
sustaining	0.0
consenting	0.0
reengineering	0.0
periodontitis	0.0
scraped	0.0
consumer-owned	0.0
re-notify	0.0
ffob	0.0
outturns	0.0
dormancy	0.0
errors	0.562379804448
syphon	0.0
tiered	0.0
self-reliant	0.0
nature.	0.0
cooking	0.0
air-to-sea	0.0
melanin	0.0
opportunists	0.0
local-option	0.0
warmongering	0.0
toolmaking	0.0
dicovered	0.0
aggression	0.505661099707
outfielders	0.0
store-brand	0.0
numeral	0.0
pawed	0.0
hallucinating	0.0
succumb	0.0
shocks	0.0
sation	0.0
epidemiology	0.0
crouch	0.0
market-opening	0.0
boil-water	0.0
jubilantly	0.0
zlotys	0.411390280886
mailings	0.0
counter-culture	0.0
brainwashed	0.0
affiliates	0.0
coal-driven	0.0
perfunctorily	0.0
china	0.921607479381
titles.	0.0
accredit	0.0
affiliated	0.307675105651
inverview	0.0
virtuoso	0.0
confronts	0.0
red-tape	0.0
chink	0.0
doldrums	0.0
existentialist	0.0
kids	0.343659952842
uplifting	0.0
non-transit	0.0
blowpipes	0.0
deferring	0.383928238227
grimacing	0.0
period-by-period	0.0
lagest	0.0
adulterous	0.0
lingo	0.0
six-hit	0.0
neurologist	0.0
talbe	0.0
spotty	0.0
climber	0.0
sharemarket	0.0
coalesces	0.0
millimetres	0.0
ganging	0.0
cobblers	0.0
topography	0.0
sub-tribe	0.0
projection	0.503773982504
lengthed	0.0
outraging	0.0
lengthen	0.0
intent	0.906631402068
government-designated	0.0
invesment	0.0
provincial-level	0.0
spacewalks	0.0
stern	0.314234113624
high-wage	0.0
end-of-sittings	0.0
sensibilisation	0.0
disproportionately	0.0
sternest	0.0
silverscreen	0.0
frosty	0.0
sterness	0.0
encoutered	0.0
catchy	0.0
insecurity	0.0
outwit	0.0
cannibal	0.0
prospector	0.352274671862
aerodynamicist	0.0
below-standard	0.0
refunding	0.43376726895
music	0.0
therefore	0.251691791615
distortions	0.0
reasserting	0.397676085923
caned	0.0
sermons	0.0
pinpoints	0.0
ex-rugby	0.0
rpondre	0.0
expecting	0.663711565425
populations	0.0
two-all	0.0
anti-gun	0.0
crossbar	0.351534678073
multi-channel	0.0
rearrangements	0.0
asset-type	0.0
meteorologist	0.330898522473
milestones	0.0
explusions	0.0
lead-based	0.0
categoric	0.0
exco	0.0
excl	0.0
schoolboys	0.0
exhorbitant	0.0
exch	0.0
circumstances	0.813114498364
resently	0.0
co-marketing	0.0
enflamed	0.0
morally	0.0
locked	0.861828091531
toxins	0.0
non-alignment	0.0
commentaire	0.0
well-supplied	0.0
edication	0.0
keloids	0.0
innoculate	0.0
repaid	0.709356140475
manuverability	0.0
locker	0.0
intensifed	0.0
old-guard	0.0
under-financing	0.0
confining	0.382855882999
radicalisation	0.0
bankiers	0.0
avaient	0.0
six-mile	0.0
sectarianism	0.0
unreconstructed	0.0
pollutors	0.0
capsaicin	0.0
wand	0.0
pints	0.0
unjust	0.0
envirnomental	0.0
fluorite	0.0
optician	0.0
pooper	0.0
buy-now-pay-later	0.0
want	0.978876887574
cookers	0.0
rayon	0.0
pinto	0.515144899926
cross-sales	0.0
cookery	0.0
groggily	0.0
sub-indices	0.0
well-armed	0.0
wracked	0.0
repricing	0.316011467946
travel	0.984166160403
shirked	0.0
recently-departed	0.0
cutback	0.396908759872
sanatoriums	0.0
playback	0.0
good-value	0.0
profiteered	0.0
nearly-completed	0.0
divergance	0.0
industrialised	0.0
prostitues	0.0
amricaine	0.0
non-reserved	0.0
twines	0.0
cyclone-devastated	0.0
names.	0.0
wheatear	0.0
uselessness	0.0
barbarians	0.0
assimilated	0.0
sugar-based	0.0
money-launderers	0.0
registries	0.0
dinosaurs	0.0
modest	0.668538005724
lattice-work	0.0
millages	0.0
twined	0.0
sentencing	0.0
