word	distance
incoming	0.540229078363
outparcels	0.0
reallocations	0.0
heavily-fortified	0.0
best-organised	0.0
deferment	0.0
land-for-peace	0.0
waste-disposal	0.0
gag	0.0
woods	0.60131961435
exorcists	0.0
still-formidable	0.0
hanging	0.706359728472
ultimatley	0.0
woody	0.394127115429
trawling	0.0
five-nation	0.548283298054
comically	0.0
co-venture	0.417000161466
sevens	0.0
disobeying	0.0
waste-management	0.0
mutinied	0.0
spot-kicks	0.0
blast-off	0.0
susbsidies	0.0
theoreticals	0.0
originality	0.0
wrong-footed	0.0
mutinies	0.354698479591
unnecessarily	0.673556003013
storiesin	0.0
inflation-free	0.0
patriarchy	0.375749990011
rumbustious	0.0
second-oldest	0.0
passsengers	0.0
well-conducted	0.0
wet-gas	0.0
slothful	0.0
co-operation	0.0
acoustic	0.0
discribed	0.0
stipulate	0.509942222854
pigment	0.739790975171
trimester	0.426899426202
weather-driven	0.0
appropriation	0.729349287286
price-change	0.0
transvestism	0.0
strictest	0.0
non-proportional	0.0
uncoordinated	0.0
task-specific	0.0
acclerating	0.0
elevates	0.539584509969
wooded	0.0
liaisons	0.351229680368
politicial	0.0
broiler	0.361046172899
fous	0.0
wooden	0.655045193751
personal-finance	0.0
wednesday	1.23127746697
sabotaged	0.0
co-leadership	0.0
broiled	0.0
abatements	0.0
delaration	0.0
crotch	0.0
end-of-the-week	0.0
re-locating	0.0
stereotypical	0.4705973345
ultra-violet	0.0
south-west	0.0
festered	0.0
non-compete	0.0
guardsmen	0.0
non-violent	0.968208002391
recourse	0.755137608659
patinets	0.0
gaskets	0.0
lossmaking	0.0
grainy	0.0
adversely	0.518621696829
rgime	0.0
complainers	0.0
shorthaul	0.0
force-fed	0.0
signifiantly	0.0
feasibility	0.501880594205
miniatures	0.0
sooth	0.0
mixed-religion	0.0
seventh-day	0.0
sustaining	0.598072219676
consenting	0.411186634395
reengineering	0.0
periodontitis	0.0
scraped	0.0
consumer-owned	0.0
re-notify	0.0
ffob	0.0
outturns	0.0
dormancy	0.0
errors	0.887468516786
syphon	0.0
tiered	0.0
self-reliant	0.0
nature.	0.0
cooking	0.323573109036
air-to-sea	0.0
melanin	0.51021029709
opportunists	0.516480605895
local-option	0.0
warmongering	0.0
toolmaking	0.0
dicovered	0.0
aggression	0.0
outfielders	0.488641538144
store-brand	0.0
numeral	0.421480822001
pawed	0.0
hallucinating	0.0
succumb	0.0
shocks	0.622827298918
sation	0.0
epidemiology	0.0
crouch	0.495351163475
market-opening	0.390580604238
boil-water	0.0
jubilantly	0.0
zlotys	0.380730516731
mailings	0.710904605238
counter-culture	0.0
brainwashed	0.0
affiliates	1.03993081216
coal-driven	0.0
perfunctorily	0.0
china	1.14453608159
titles.	0.0
accredit	0.0
affiliated	0.469539730245
inverview	0.0
virtuoso	0.313070464703
confronts	0.417274783209
red-tape	0.0
chink	0.0
doldrums	0.65912744322
existentialist	0.47877076464
kids	0.748358820261
uplifting	0.0
non-transit	0.0
blowpipes	0.0
deferring	0.818104720494
grimacing	0.0
period-by-period	0.0
lagest	0.0
adulterous	0.0
lingo	0.0
six-hit	0.0
neurologist	0.5155923147
talbe	0.0
spotty	0.637549931156
climber	0.0
sharemarket	0.0
coalesces	0.0
millimetres	0.0
ganging	0.0
cobblers	0.0
topography	0.0
sub-tribe	0.0
projection	0.826738128668
lengthed	0.0
outraging	0.0
lengthen	0.573382018602
intent	0.692563046567
government-designated	0.0
invesment	0.0
provincial-level	0.0
spacewalks	0.0
stern	0.72112400722
high-wage	0.0
end-of-sittings	0.0
sensibilisation	0.0
disproportionately	0.484679760631
sternest	0.0
silverscreen	0.0
frosty	0.380249964036
sterness	0.0
encoutered	0.0
catchy	0.0
insecurity	0.0
outwit	0.0
cannibal	0.0
prospector	0.0
aerodynamicist	0.0
below-standard	0.0
refunding	0.545281427146
music	0.925869760243
therefore	1.03372567787
distortions	0.670553839714
reasserting	0.610168994879
caned	0.0
sermons	0.0
pinpoints	0.0
ex-rugby	0.0
rpondre	0.0
expecting	1.0569557716
populations	0.502926281583
two-all	0.0
anti-gun	0.0
crossbar	0.0
multi-channel	0.0
rearrangements	0.0
asset-type	0.0
meteorologist	0.0
