word	similarity
incoming	0.961735748831
outparcels	1.0
reallocations	1.0
heavily-fortified	1.0
best-organised	1.0
deferment	1.0
land-for-peace	1.0
waste-disposal	1.0
gag	1.0
woods	0.754646419772
exorcists	1.0
still-formidable	1.0
hanging	0.79969741572
ultimatley	1.0
woody	1.0
trawling	1.0
five-nation	1.0
comically	1.0
co-venture	0.80897148537
sevens	1.0
disobeying	1.0
waste-management	1.0
mutinied	1.0
spot-kicks	1.0
blast-off	1.0
susbsidies	1.0
theoreticals	1.0
originality	1.0
wrong-footed	1.0
mutinies	1.0
unnecessarily	1.0
storiesin	1.0
inflation-free	1.0
patriarchy	1.0
rumbustious	1.0
second-oldest	1.0
passsengers	1.0
well-conducted	1.0
wet-gas	1.0
slothful	1.0
co-operation	1.0
acoustic	1.0
discribed	1.0
stipulate	0.94860038418
pigment	1.0
trimester	0.960838983766
weather-driven	1.0
appropriation	1.0
price-change	1.0
transvestism	1.0
strictest	1.0
non-proportional	1.0
uncoordinated	1.0
task-specific	1.0
acclerating	1.0
elevates	1.0
wooded	1.0
liaisons	1.0
politicial	1.0
broiler	1.0
fous	1.0
wooden	0.554481838115
personal-finance	1.0
wednesday	0.502184053414
sabotaged	1.0
co-leadership	1.0
broiled	1.0
abatements	1.0
delaration	1.0
crotch	1.0
end-of-the-week	1.0
re-locating	1.0
stereotypical	0.959886837698
ultra-violet	1.0
south-west	1.0
festered	1.0
non-compete	1.0
guardsmen	1.0
non-violent	1.0
recourse	1.0
patinets	1.0
gaskets	1.0
lossmaking	1.0
grainy	1.0
adversely	0.947287014734
rgime	1.0
complainers	1.0
shorthaul	1.0
force-fed	1.0
signifiantly	1.0
feasibility	0.95465414367
miniatures	1.0
sooth	1.0
mixed-religion	1.0
seventh-day	1.0
sustaining	0.962155570998
consenting	0.963854725659
reengineering	1.0
periodontitis	1.0
scraped	1.0
consumer-owned	1.0
re-notify	1.0
ffob	1.0
outturns	1.0
dormancy	1.0
errors	0.772718607922
syphon	1.0
tiered	1.0
self-reliant	1.0
nature.	1.0
cooking	0.953549592299
air-to-sea	1.0
melanin	1.0
opportunists	1.0
local-option	1.0
warmongering	1.0
toolmaking	1.0
dicovered	1.0
aggression	1.0
outfielders	1.0
store-brand	1.0
numeral	1.0
pawed	1.0
hallucinating	1.0
succumb	1.0
shocks	0.963909146558
sation	1.0
epidemiology	1.0
crouch	1.0
market-opening	1.0
boil-water	1.0
jubilantly	1.0
zlotys	1.0
mailings	0.960411960712
counter-culture	1.0
brainwashed	1.0
affiliates	0.81020386888
coal-driven	1.0
perfunctorily	1.0
china	0.321311691534
titles.	1.0
accredit	1.0
affiliated	0.558298106265
inverview	1.0
virtuoso	1.0
confronts	1.0
red-tape	1.0
chink	1.0
doldrums	0.965296627904
existentialist	1.0
kids	0.694755518519
uplifting	1.0
non-transit	1.0
blowpipes	1.0
deferring	0.956475439892
grimacing	1.0
period-by-period	1.0
lagest	1.0
adulterous	1.0
lingo	1.0
six-hit	1.0
neurologist	1.0
talbe	1.0
spotty	0.949925848265
climber	1.0
sharemarket	1.0
coalesces	1.0
millimetres	1.0
ganging	1.0
cobblers	1.0
topography	1.0
sub-tribe	1.0
projection	0.919503125353
lengthed	1.0
outraging	1.0
lengthen	1.0
intent	0.899649893913
government-designated	1.0
invesment	1.0
provincial-level	1.0
spacewalks	1.0
stern	1.0
high-wage	1.0
end-of-sittings	1.0
sensibilisation	1.0
disproportionately	1.0
sternest	1.0
silverscreen	1.0
frosty	1.0
sterness	1.0
encoutered	1.0
catchy	1.0
insecurity	1.0
outwit	1.0
cannibal	1.0
prospector	1.0
aerodynamicist	1.0
below-standard	1.0
refunding	1.0
music	0.804026440313
therefore	0.848965402907
distortions	1.0
reasserting	0.978266108899
caned	1.0
sermons	1.0
pinpoints	1.0
ex-rugby	1.0
rpondre	1.0
expecting	0.585883400189
populations	1.0
two-all	1.0
anti-gun	1.0
crossbar	1.0
multi-channel	1.0
rearrangements	1.0
asset-type	1.0
meteorologist	1.0
milestones	0.846549564446
explusions	1.0
lead-based	1.0
categoric	1.0
exco	1.0
excl	1.0
schoolboys	1.0
exhorbitant	1.0
exch	1.0
circumstances	0.192585880894
resently	1.0
co-marketing	1.0
enflamed	1.0
morally	0.94877090812
locked	0.955629091231
toxins	1.0
non-alignment	1.0
commentaire	1.0
well-supplied	1.0
edication	1.0
keloids	1.0
innoculate	1.0
repaid	1.0
manuverability	1.0
locker	0.964135793205
intensifed	1.0
old-guard	1.0
under-financing	1.0
confining	1.0
radicalisation	1.0
bankiers	1.0
avaient	1.0
six-mile	0.965290547384
sectarianism	1.0
unreconstructed	1.0
pollutors	1.0
capsaicin	1.0
wand	1.0
pints	0.980105755233
unjust	1.0
envirnomental	1.0
fluorite	1.0
optician	1.0
pooper	1.0
buy-now-pay-later	1.0
want	0.30818515021
cookers	1.0
rayon	0.863401843649
pinto	1.0
cross-sales	1.0
cookery	1.0
groggily	1.0
sub-indices	1.0
well-armed	1.0
wracked	1.0
repricing	1.0
travel	0.318373376127
shirked	1.0
recently-departed	1.0
cutback	1.0
sanatoriums	1.0
playback	0.952319038955
good-value	1.0
profiteered	1.0
nearly-completed	1.0
divergance	1.0
industrialised	1.0
prostitues	1.0
amricaine	1.0
non-reserved	1.0
twines	1.0
cyclone-devastated	1.0
names.	1.0
wheatear	1.0
uselessness	1.0
barbarians	1.0
assimilated	1.0
sugar-based	1.0
money-launderers	1.0
registries	1.0
dinosaurs	1.0
modest	0.31696573066
lattice-work	1.0
millages	1.0
twined	1.0
sentencing	1.0
off-label	1.0
ex-justice	1.0
military-based	1.0
assimilates	1.0
steadfast	0.966179621028
matter-of-fact	1.0
poiints	1.0
well-reasoned	1.0
occasions	0.653744463376
deficit-fighting	1.0
romped	1.0
long_term	1.0
sickening	1.0
tulip	1.0
perpetrator	1.0
quiting	1.0
farmlands	1.0
nonsensical	1.0
point-of-sale	1.0
lace-up	1.0
leisurely	0.929133368779
smashers	1.0
macroeconometric	1.0
snugly	1.0
once-a-week	1.0
medium-distance	1.0
effect.	1.0
roll-over	1.0
concurrence	1.0
cerrado	1.0
whizzing	1.0
three-strain	1.0
partnered	1.0
bromantan	1.0
butcher	0.955247563411
beerhall	1.0
kneejerk	1.0
rewarded	1.0
wherein	1.0
activating	1.0
abysses	1.0
genetically-engineered	1.0
welcomes	1.0
fir	1.0
ex-dividend	1.0
ready-to-use	1.0
wickedly	1.0
up-trend	1.0
fit	0.668336613009
insureds	1.0
lifeline	1.0
screaming	1.0
fix	0.952265336753
occupations	1.0
pre-baking	1.0
discourse	1.0
seamier	1.0
fib	1.0
first-test	1.0
bulding	1.0
rehoused	1.0
fig	1.0
bankrupty	1.0
tee-off	1.0
non-resort	1.0
fin	1.0
passageways	1.0
fim	1.0
canstock	1.0
lingustic	1.0
unpeg	1.0
perching	1.0
songwriter	1.0
municipality	1.0
enamelled	1.0
short-listed	1.0
vouchers	0.940050353241
top-quality	1.0
hypoxic	1.0
effectu	1.0
sodium	0.96262416418
effects	0.350086020894
counter-terrorists	1.0
fast-attack	1.0
multidimensional	1.0
sixteen	1.0
undeveloped	0.859611641301
dead-end	1.0
saddened	1.0
grueling	0.960310273116
customer-oriented	1.0
kleptocracy	1.0
partisan	0.958700569316
dungeon-like	1.0
miltary	1.0
whacking	1.0
castigating	0.969520196512
foregin	1.0
telekom	1.0
disconnection	1.0
blood-plasma	1.0
self-titled	1.0
hair-growth	1.0
second-rank	1.0
mother-of-three	1.0
trippled	1.0
riddling	1.0
prevous	1.0
burial	1.0
diatoms	1.0
telescope	0.85612271769
conductress	1.0
wastefully	1.0
tantalisingly	1.0
stabilises	1.0
drug-resistant	1.0
platelets	1.0
advocate-general	1.0
general-manager	1.0
parasites	0.963921078166
childen	1.0
strips	0.963425879348
annonced	1.0
employee-owned	1.0
worn-out	1.0
allay	1.0
hijacked	1.0
ex-treasury	1.0
stabilised	1.0
vinho	1.0
forwarding	0.962249858717
short-sea	1.0
touts	1.0
re-regulate	1.0
protray	1.0
indiscretion	1.0
freeze	1.0
enviroment	1.0
mason	0.786932580066
toute	1.0
varified	1.0
broad-minded	1.0
implore	1.0
adapt	1.0
mazut	1.0
south-eastern	1.0
volutions	1.0
lower-than	1.0
re-iterated	1.0
outburst	1.0
misrepresentations	0.966649399052
historically-low	1.0
abbott	0.786574891458
stamping	0.969675224394
intercommunal	1.0
diminshed	1.0
underfoot	1.0
strata	1.0
cover-names	1.0
pumpkins	1.0
corrects	1.0
elsewhere	0.768524745582
deferments	1.0
air-conditioners	1.0
sheet	0.565274585585
omited	1.0
loosies	1.0
chlorine	0.957938157654
single-day	1.0
competes	1.0
steadfastness	1.0
allergies	0.917282772673
commissaries	1.0
semi-trailer	1.0
immunities	0.96889035633
connive	1.0
cockpit-style	1.0
developmental-stage	1.0
diamond-rich	1.0
ministries	1.0
pro-employment	1.0
disturbed	1.0
competed	1.0
dentures	1.0
shrugged-off	1.0
ineffectively	1.0
loudness	1.0
all-news	1.0
ominious	1.0
stripe	1.0
size	0.344819789853
no-contests	1.0
lightened	0.957981861392
gangly	1.0
behaviourist	1.0
dawns	1.0
disfigured	1.0
humanitarians	1.0
mail-fraud	1.0
maladies	1.0
single-wide	1.0
chevron	0.774211654799
multi-city	1.0
pronghorn	1.0
tusks	1.0
cordoned-off	1.0
reintroduces	1.0
highly-motivated	1.0
seizures	0.951593201892
seven-time	1.0
olds	1.0
problem-solvers	1.0
service	0.407988931925
thenight	1.0
dissuasion	1.0
pre-planting	1.0
payless	1.0
short-circuit	1.0
zinfandel	1.0
drillsites	1.0
near-absolute	1.0
mind-boggling	1.0
master	0.864929773281
predecessors	1.0
mosaiced	1.0
fuzziness	1.0
genesis	1.0
substaintial	1.0
chocolate-coloured	1.0
newly-fallen	1.0
briquetted	1.0
fuero	1.0
reclassifying	1.0
meltdowns	1.0
governmeent	1.0
crate	1.0
concessionaries	1.0
factory-built	1.0
three-bay	1.0
integrally	1.0
mutilated	1.0
transtion	1.0
large-size	1.0
non-interstate	1.0
perimetre	1.0
heftiest	1.0
horrible	0.828101797089
stop-go	1.0
derisorily	1.0
maglev	1.0
one-storey	1.0
double-standard	1.0
heat-related	1.0
handcuffs	1.0
non-beer	1.0
saeen	1.0
elying	1.0
regulator	0.946958764795
idle	0.714439651145
exclaimed	1.0
cannibalize	1.0
three-wicket	1.0
silky	1.0
shampoos	1.0
feeling	0.91492112489
damning	1.0
excessivly	1.0
also-ran	1.0
verify	1.0
assertiveness	1.0
dollar-earning	1.0
longs	1.0
codeine	1.0
immediatley	1.0
spectrum	0.740876452121
craven	1.0
aroundand	1.0
brawny	1.0
increment	0.957878008044
anti-angiogenic	1.0
arousal	1.0
thaw	1.0
urinate	1.0
resignations	0.882268230393
